company_id,company_name,industry,working_capital_to_total_assets,retained_earnings_to_total_assets,ebit_to_total_assets,market_value_equity_to_total_liabilities,sales_to_total_assets,current_ratio,quick_ratio,debt_to_equity,interest_coverage,net_profit_margin,return_on_assets,return_on_equity,altman_z_score,is_bankrupt,years_to_bankruptcy
COMP_0900,Pioneer Dynamics,Transportation,-0.2618,-0.3823,0.002,0.0052,0.6276,0.2638,0.1911,24.8631,0.0231,-0.1095,-0.0687,-1.7778,-0.2119,1,3.0
COMP_0281,United Corp #27,Healthcare,0.3657,0.2107,0.0625,2.3653,0.6545,2.9331,2.4089,0.4993,3.9603,0.0584,0.0382,0.0573,3.0136,0,
COMP_0884,Omega Enterprises #490,Manufacturing,-0.1533,-0.3629,0.0034,0.0025,0.275,0.6861,0.328,8.7015,0.0263,-0.3562,-0.098,-0.9503,-0.4043,1,2.0
COMP_0762,Advanced Enterprises,Energy,0.0493,0.0653,0.0518,0.8765,0.3431,1.2108,0.8761,0.9023,1.9183,0.0531,0.0182,0.0347,1.1906,0,
COMP_0320,Prime Innovations #395,Construction,0.3376,-0.0692,0.0191,0.0362,1.0221,2.7348,2.2108,0.8064,0.734,-0.0053,-0.0054,-0.0098,1.4151,0,
COMP_0550,United Logistics #165,Transportation,-0.0016,0.2724,0.0722,0.8969,0.9118,0.9955,0.8183,2.4878,1.7617,0.0283,0.0258,0.0899,2.0675,0,
COMP_0175,Stellar Holdings #296,Transportation,-0.0585,-0.024,0.0318,0.0337,0.4709,0.8317,0.7061,2.118,0.923,-0.0048,-0.0023,-0.007,0.4923,0,
COMP_0372,Quantum Group,Transportation,-0.1629,0.1407,0.079,0.6335,0.7224,0.6269,0.3323,5.7508,1.6385,0.0319,0.023,0.1555,1.3649,0,
COMP_0528,Alpha Enterprises #251,Manufacturing,0.2975,0.4479,0.0883,3.1829,0.8776,3.2688,2.5383,0.6772,5.1263,0.0638,0.056,0.0939,4.0628,0,
COMP_0211,Premier Technologies #339,Healthcare,0.2629,0.4971,0.097,2.749,0.9599,2.2475,1.4471,0.9111,4.083,0.0589,0.0566,0.1081,3.9408,0,
COMP_0236,Prime Systems #539,Construction,0.3413,-0.0882,0.005,0.0174,0.9922,2.8043,2.4641,1.2004,0.1525,-0.0197,-0.0196,-0.0431,1.3051,1,1.0
COMP_0102,United Dynamics #409,Manufacturing,0.0603,0.385,0.0545,0.5609,0.861,1.2733,0.7949,1.0609,2.5528,0.0305,0.0263,0.0541,1.9888,0,
COMP_0987,Horizon Systems #527,Transportation,-0.0838,-0.4024,-0.0407,0.0035,0.5448,0.7084,0.3125,13.463,-0.3749,-0.216,-0.1177,-1.702,-0.2513,1,5.0
COMP_0903,Pinnacle Dynamics #210,Healthcare,-0.2824,-0.3793,-0.006,0.0044,0.05,0.2547,0.1703,76.4067,-0.0616,-1.5,-0.0793,-5.0,-0.8372,1,5.0
COMP_0948,Premier Solutions #140,Manufacturing,-0.034,-0.218,-0.0079,0.0068,0.05,0.9141,0.341,115.0987,-0.0762,-1.5,-0.0908,-5.0,-0.3179,1,3.0
COMP_0347,Omega Dynamics,Real Estate,0.025,-0.0141,0.025,0.0265,0.1391,1.1163,0.949,1.6858,0.8202,-0.0302,-0.0042,-0.0113,0.2476,0,
COMP_0140,Elite Holdings,Retail,-0.0566,-0.0101,0.0382,0.0166,2.1766,0.8703,0.4769,2.4281,0.9078,-0.0014,-0.003,-0.0101,2.2305,0,
COMP_0622,Nova Ventures #191,Retail,0.2111,0.48,0.0885,1.7411,2.1037,1.7616,1.4608,0.9794,2.8159,0.0203,0.0426,0.0843,4.3656,0,
COMP_0500,Omega Holdings #87,Retail,0.0802,0.1957,0.1443,0.9153,1.5809,1.293,0.9128,3.8551,2.6404,0.0438,0.0693,0.3363,2.9763,0,
COMP_0371,Premier Ventures #640,Financial Services,0.0407,0.1417,0.1299,1.2856,0.3922,1.1517,0.8842,5.7064,10.1815,0.2192,0.086,0.5764,1.8395,0,
COMP_0199,United Manufacturing #116,Financial Services,-0.0181,-0.0139,0.0212,0.0114,0.1227,0.9584,0.6767,8.1572,0.7403,-0.0498,-0.0061,-0.0559,0.1584,0,
COMP_0688,Pioneer Solutions,Energy,0.2037,0.3138,0.0677,0.6295,0.5671,4.0421,3.0938,2.0277,1.9298,0.0445,0.0253,0.0765,1.852,0,
COMP_0585,Omega Partners #478,Retail,0.1521,-0.1766,0.0093,0.0278,1.8545,1.7754,1.0244,1.9166,0.224,-0.0153,-0.0283,-0.0827,1.837,0,
COMP_0902,Omega Dynamics #371,Technology,-0.1334,-0.4321,-0.1443,0.0087,0.5901,0.666,0.2903,3.2564,-1.4555,-0.3022,-0.1783,-0.759,-0.6458,1,4.0
COMP_0060,Apex Logistics #315,Transportation,-0.2191,0.1226,0.0991,1.0507,0.916,0.4561,0.4127,5.7601,2.5785,0.0551,0.0504,0.341,1.7823,1,2.0
COMP_0329,Titan Dynamics,Manufacturing,-0.029,-0.1409,0.0052,0.0301,0.7234,0.9133,0.5853,1.3613,0.2064,-0.0194,-0.0141,-0.0332,0.5267,0,
COMP_0097,Nova Innovations #643,Healthcare,0.2626,0.4108,0.0951,2.5695,0.5654,3.2166,2.0947,0.4016,8.3685,0.1087,0.0614,0.0861,3.3114,0,
COMP_0313,Quantum Dynamics #222,Manufacturing,0.1764,-0.1378,0.012,0.0129,0.7878,1.7685,1.4153,1.6497,0.5271,-0.0111,-0.0087,-0.0232,0.8541,0,
COMP_0975,Summit Ventures #127,Manufacturing,-0.0773,-0.3968,-0.0511,0.0081,0.3879,0.8154,0.5722,5.1457,-0.4348,-0.3074,-0.1192,-0.7327,-0.4242,1,3.0
COMP_0300,Nova Holdings,Technology,0.423,0.5327,0.2213,3.3983,0.8319,4.9196,3.9839,0.7833,8.3676,0.177,0.1472,0.2625,4.8546,0,
COMP_0278,Vanguard Industries #431,Construction,0.3024,-0.0196,0.0125,0.0269,0.9606,2.7842,1.6633,0.7156,0.5116,-0.0093,-0.009,-0.0154,1.3536,0,
COMP_0925,Global Manufacturing,Healthcare,0.061,-0.3395,-0.0421,0.0092,0.3996,1.3105,0.7981,5.6586,-0.4151,-0.3059,-0.1222,-0.8138,-0.136,1,5.0
COMP_0602,Strategic Manufacturing #632,Construction,0.1463,0.3839,0.1148,1.0812,1.2324,1.3583,1.2037,1.4747,4.518,0.0508,0.0626,0.1549,2.973,0,
COMP_0440,Apex Industries #679,Financial Services,-0.4231,0.1399,0.069,0.6963,0.2207,0.3903,0.2942,5.7916,2.1644,0.1291,0.0285,0.1935,0.5543,1,4.0
COMP_0838,Pioneer Technologies #125,Manufacturing,-0.2864,-0.1336,-0.0031,0.0069,0.05,0.2652,0.1254,8.0258,-0.0273,-1.5,-0.0873,-0.7877,-0.4869,1,2.0
COMP_0571,Horizon Technologies,Real Estate,-0.2506,0.0467,0.0406,0.1886,0.2479,0.3881,0.1731,5.2891,1.5273,0.044,0.0109,0.0685,0.2597,0,
COMP_0880,Horizon Corp #183,Transportation,-0.3331,-0.2945,-0.0425,0.0034,0.5449,0.2425,0.0733,101.7132,-0.3834,-0.2189,-0.1193,-5.0,-0.4053,1,1.0
COMP_0262,Strategic Enterprises #631,Manufacturing,0.2599,0.0486,0.0392,1.3923,0.9844,3.2205,2.3905,0.4277,2.603,0.019,0.0187,0.0267,2.329,0,
COMP_0579,United Dynamics #449,Telecommunications,-0.1378,0.3164,0.1268,1.6219,0.5178,0.6438,0.3797,2.0022,3.3378,0.1372,0.0711,0.2133,2.187,0,
COMP_0024,Quantum Manufacturing #153,Real Estate,-0.1077,-0.0479,0.0359,0.0221,0.3201,0.6574,0.4291,2.6998,0.7499,-0.0278,-0.0089,-0.0329,0.2553,0,
COMP_0031,Dynamic International,Retail,0.1514,0.433,0.0845,1.6604,1.8485,1.5838,1.2837,1.1939,3.1602,0.0247,0.0457,0.1003,3.9114,0,
COMP_0618,Prime Dynamics #119,Healthcare,0.4761,0.5734,0.1675,5.7806,1.0562,4.6853,3.258,0.6568,11.5705,0.1135,0.1199,0.1987,6.4513,0,
COMP_0011,Stellar Systems #416,Energy,-0.1197,0.1048,0.1491,1.9398,0.5858,0.7323,0.4931,8.0656,2.7948,0.1212,0.071,0.6435,2.2449,0,
COMP_0222,Nova Innovations #302,Retail,0.1287,0.3319,0.0846,1.5477,1.8157,1.5188,1.2264,1.8619,3.0158,0.0242,0.044,0.1259,3.6425,0,
COMP_0821,United Solutions #225,Technology,-0.0633,-0.351,0.04,0.0036,0.7971,0.805,0.4852,101.7407,0.3979,-0.06,-0.0478,-4.781,0.3638,1,3.0
COMP_0297,Apex Enterprises,Telecommunications,-0.1108,0.2911,0.1601,3.287,0.661,0.685,0.4431,2.2637,7.1056,0.1675,0.1107,0.3613,3.436,0,
COMP_0055,Prime Manufacturing #595,Retail,0.0392,0.3079,0.162,1.2531,2.1181,1.1283,0.9539,2.0857,4.1615,0.0421,0.0892,0.2751,3.8827,0,
COMP_0543,Quantum Services,Manufacturing,0.0754,0.2788,0.1464,1.6677,1.0506,1.1945,0.7852,2.4079,3.9932,0.0828,0.087,0.2965,3.015,0,
COMP_0210,Pioneer Innovations,Construction,0.3847,0.1402,0.0542,0.14,1.1564,4.8805,3.5154,1.7469,1.3942,0.0095,0.011,0.0303,2.0773,0,
COMP_0605,United Ventures #469,Telecommunications,-0.044,0.108,0.0517,0.2917,0.4498,0.8802,0.5754,3.8971,1.7661,0.0405,0.0182,0.0891,0.894,0,
COMP_0693,Summit Partners,Real Estate,-0.0323,-0.0164,0.0131,0.0245,0.2678,0.8818,0.496,2.1923,0.371,-0.0641,-0.0172,-0.0548,0.264,0,
COMP_0663,Horizon Industries #89,Technology,0.249,0.4654,0.2819,4.8258,1.1373,2.0174,1.7037,1.0413,13.489,0.1919,0.2182,0.4454,5.9135,0,
COMP_0867,Pioneer Partners,Telecommunications,-0.2935,-0.3467,0.0049,0.0035,0.435,0.2408,0.1549,2.9085,0.0442,-0.1641,-0.0714,-0.2791,-0.3844,1,3.0
COMP_0071,Pinnacle Ventures #378,Construction,0.3309,0.0066,0.03,0.0194,1.3078,2.6085,1.7594,1.1487,1.0204,0.0004,0.0005,0.001,1.8248,0,
COMP_0544,Stellar Corp #63,Manufacturing,0.1673,0.0312,0.0765,0.7132,0.6539,2.2663,1.688,1.4437,3.2379,0.0633,0.0414,0.1012,1.5786,1,3.0
COMP_0108,Prime Manufacturing,Transportation,0.133,-0.0127,0.0248,0.0232,0.8774,1.4367,1.1872,2.1104,0.8575,-0.0035,-0.003,-0.0094,1.1149,0,
COMP_0494,Stellar Enterprises #626,Transportation,0.149,0.1284,0.107,0.8805,0.7236,1.6963,1.0005,2.4814,3.2608,0.0803,0.0581,0.2022,1.9635,0,
COMP_0591,Summit Ventures #453,Telecommunications,-0.2229,-0.0535,0.0324,0.0119,0.3098,0.4216,0.2331,5.1776,0.7882,-0.0229,-0.0071,-0.0439,0.0815,1,2.0
COMP_0742,Premier Holdings #306,Construction,0.5977,-0.2723,0.0066,0.0371,1.3165,6.1453,2.3482,1.8192,0.204,-0.0161,-0.0212,-0.0599,1.6966,0,
COMP_0293,Quantum International,Real Estate,-0.1279,0.0223,0.0499,0.0382,0.2296,0.5559,0.3466,9.0,1.098,0.0153,0.0035,0.0351,0.295,0,
COMP_0290,Horizon Technologies #459,Retail,0.0155,0.3198,0.1711,1.6544,2.3616,1.0455,0.9388,1.9704,4.8188,0.0453,0.107,0.3177,4.3852,0,
COMP_0653,Global Group #610,Healthcare,0.2987,0.4396,0.0575,1.1958,0.625,2.5085,1.7812,1.1612,2.9858,0.0493,0.0308,0.0666,2.5062,0,
COMP_0040,Quantum Services #237,Transportation,-0.0014,0.2182,0.0473,0.6269,0.7848,0.9926,0.5614,1.1876,1.5264,0.0177,0.0139,0.0304,1.6209,0,
COMP_0590,Pioneer Services #444,Telecommunications,-0.0553,0.2995,0.1385,0.9828,0.4874,0.76,0.5023,2.1716,3.2436,0.1517,0.0739,0.2345,1.8872,0,
COMP_0308,Elite Manufacturing #18,Energy,0.0006,0.0142,0.0451,0.0434,0.6088,1.0017,0.5819,3.8023,1.0418,0.0023,0.0014,0.0066,0.8043,0,
COMP_0680,Global Solutions,Real Estate,-0.2769,0.1185,0.0528,0.1548,0.2961,0.4382,0.2292,3.749,1.1745,0.0215,0.0064,0.0302,0.397,0,
COMP_0067,Summit Manufacturing #20,Real Estate,-0.3083,-0.0392,0.0276,0.0337,0.1538,0.335,0.128,2.0589,0.8616,-0.0237,-0.0037,-0.0112,-0.1596,0,
COMP_0276,Dynamic Systems #50,Retail,0.0864,-0.3053,0.0145,0.0302,1.463,1.3103,1.049,1.8721,0.4431,-0.0101,-0.0148,-0.0426,1.2054,0,
COMP_0068,Apex Corp #137,Financial Services,0.1068,0.0881,0.0431,0.5503,0.2015,1.4638,1.1219,3.5783,2.4902,0.0959,0.0193,0.0885,0.9256,1,1.0
COMP_0319,Titan Manufacturing #557,Real Estate,-0.0287,-0.0693,0.0088,0.0315,0.061,0.8629,0.5063,2.5809,0.2967,-0.2439,-0.0149,-0.0532,-0.0223,1,3.0
COMP_0549,Prime Enterprises #85,Energy,-0.0805,0.2376,0.0897,0.5683,0.6373,0.792,0.6464,2.9982,1.6986,0.0417,0.0266,0.1063,1.5104,0,
COMP_0999,Advanced Partners #483,Real Estate,-0.3379,-0.2971,-0.001,0.0059,0.0672,0.2356,0.1403,4.3672,-0.0071,-1.5,-0.1102,-0.5915,-0.7539,1,4.0
COMP_0715,Elite Ventures #361,Real Estate,-0.1748,-0.105,0.0273,0.0284,0.1221,0.5208,0.3631,1.776,0.7384,-0.062,-0.0076,-0.021,-0.1275,1,3.0
COMP_0754,Horizon Ventures #163,Real Estate,0.0572,0.4479,0.1002,1.5502,0.3781,1.3923,0.9201,1.1212,5.2717,0.1587,0.06,0.1273,2.3346,0,
COMP_0328,Prime Group #464,Technology,0.4866,0.5308,0.135,2.4757,0.8275,4.1355,3.1729,0.7899,7.4733,0.1119,0.0926,0.1658,4.0853,0,
COMP_0383,Premier Dynamics #649,Real Estate,-0.1707,-0.4197,0.0061,0.029,0.0521,0.5533,0.3255,3.4296,0.1434,-0.5258,-0.0274,-0.1214,-0.7029,1,4.0
COMP_0452,Premier Logistics #323,Real Estate,-0.0813,0.0156,0.0448,0.0405,0.3233,0.7397,0.5619,3.2016,1.0525,0.0053,0.0017,0.0072,0.4198,0,
COMP_0523,Advanced Manufacturing #170,Manufacturing,0.0305,0.2067,0.0518,0.2732,0.8459,1.0969,0.7743,3.5949,1.9548,0.0224,0.0189,0.0869,1.5066,0,
COMP_0219,Pinnacle Partners #407,Retail,0.0247,0.1192,0.04,0.2145,1.3896,1.1115,0.7725,1.8494,1.6475,0.0083,0.0115,0.0327,1.8467,0,
COMP_0788,Pinnacle Manufacturing #538,Transportation,-0.0684,0.2542,0.0439,0.3911,0.9274,0.6949,0.4557,1.4181,1.4674,0.0118,0.011,0.0265,1.5807,0,
COMP_0437,Alpha Industries,Energy,0.0121,0.1795,0.0545,0.3434,0.7184,1.0644,0.751,2.6107,1.3952,0.0155,0.0111,0.0402,1.3702,0,
COMP_0765,Vanguard Manufacturing #12,Financial Services,0.0452,0.126,0.1348,2.1771,0.4531,1.1512,0.6883,6.5385,3.7976,0.1803,0.0817,0.616,2.4349,0,
COMP_0089,Quantum International #436,Construction,0.3408,0.0881,0.0793,1.5148,0.9983,2.315,1.6177,0.9472,2.29,0.0338,0.0337,0.0657,2.7011,0,
COMP_0064,Quantum Enterprises,Real Estate,-0.0112,-0.1177,0.035,0.0331,0.2123,0.9505,0.6638,2.8262,0.803,-0.0316,-0.0067,-0.0256,0.1693,0,
COMP_0827,Titan Group #639,Transportation,-0.2213,-0.4405,0.0181,0.0036,0.5253,0.3687,0.1482,48.3774,0.2101,-0.1057,-0.0555,-2.7416,-0.295,1,1.0
COMP_0717,Advanced Services #622,Energy,0.1314,0.1583,0.0755,0.4914,0.6884,1.4344,1.0881,2.0307,2.0316,0.0442,0.0304,0.0922,1.6116,1,1.0
COMP_0352,Horizon Enterprises,Technology,0.4039,0.5635,0.1926,6.1133,0.7581,2.6448,1.8202,0.686,13.3511,0.1927,0.1461,0.2463,6.3353,0,
COMP_0937,Alpha Technologies #130,Manufacturing,-0.0166,-0.5803,-0.0237,0.0059,0.2659,0.9544,0.4243,16.108,-0.4191,-0.2464,-0.0655,-1.1209,-0.6412,1,2.0
COMP_0257,Omega Logistics #410,Transportation,-0.1244,-0.0568,0.0364,0.0155,0.712,0.6922,0.5977,2.0591,0.9152,-0.0039,-0.0027,-0.0084,0.6127,0,
COMP_0636,Horizon International,Transportation,0.065,-0.2125,0.003,0.0584,0.5953,1.3651,0.9852,0.6124,0.1798,-0.0176,-0.0105,-0.0169,0.4206,0,
COMP_0645,Stellar Dynamics #521,Construction,0.4545,0.4356,0.0869,1.479,1.1298,3.8813,3.6873,1.181,3.5813,0.0479,0.0542,0.1181,3.459,0,
COMP_0555,Horizon International #250,Real Estate,-0.1832,0.0156,0.0512,0.2548,0.328,0.6117,0.3603,2.5216,1.2741,0.0259,0.0085,0.0299,0.4518,0,
COMP_0960,Premier Dynamics #532,Retail,-0.0455,-0.379,-0.0651,0.009,0.7822,0.8976,0.4865,3.1762,-0.8966,-0.1322,-0.1034,-0.4317,-0.0124,1,1.0
COMP_0169,Pinnacle Group,Financial Services,-0.1783,0.0634,0.0577,0.4353,0.4331,0.633,0.3525,9.0,1.9654,0.0549,0.0238,0.2379,0.7593,0,
COMP_0918,Horizon Systems,Construction,-0.0842,-0.5069,-0.0354,0.0043,0.349,0.784,0.4013,3.1978,-0.2673,-0.3714,-0.1296,-0.5441,-0.576,1,3.0
COMP_0529,Apex Innovations,Real Estate,-0.0689,-0.0644,0.0123,0.0129,0.1659,0.7583,0.4864,3.558,0.274,-0.1457,-0.0242,-0.1101,0.0415,0,
COMP_0824,Nova Corp #28,Transportation,-0.0777,-0.3538,-0.0107,0.0094,0.4821,0.7278,0.5002,2.5679,-0.0956,-0.1947,-0.0939,-0.3349,-0.1362,1,5.0
COMP_0986,Advanced Systems,Transportation,-0.2255,-0.2,-0.0279,0.0058,0.9349,0.4757,0.3049,57.0269,-0.2792,-0.1099,-0.1027,-5.0,0.2958,1,5.0
COMP_0817,Stellar Dynamics,Technology,-0.0198,-0.2702,-0.023,0.0064,0.1734,0.9423,0.4714,5.0112,-0.2136,-0.61,-0.1058,-0.636,-0.3006,1,2.0
COMP_0087,Titan International #605,Technology,0.4556,0.3971,0.106,1.25,0.8044,5.1485,2.7542,0.7493,5.1812,0.0774,0.0622,0.1089,3.0069,0,
COMP_0433,Dynamic International #574,Telecommunications,-0.1056,0.233,0.0545,0.6235,0.5178,0.6864,0.6028,3.0775,2.5899,0.0512,0.0265,0.1081,1.2713,0,
COMP_0185,Strategic International #646,Retail,0.0803,0.2428,0.0757,1.1157,2.3429,1.3277,1.0302,1.0411,2.3614,0.0147,0.0345,0.0704,3.6983,0,
COMP_0979,Horizon Industries,Financial Services,-0.4449,-0.3815,0.0286,0.0036,0.1741,0.2586,0.1277,110.3335,0.3128,-0.2779,-0.0484,-4.839,-0.7973,1,5.0
COMP_0535,Titan Technologies #354,Energy,-0.0126,-0.3234,0.0168,0.0234,0.5739,0.9675,0.8078,3.7327,0.3349,-0.0435,-0.0249,-0.1181,0.1757,0,
COMP_0295,Prime Solutions #190,Energy,0.0175,0.4121,0.1067,2.2326,0.5847,1.0482,0.6803,1.305,3.5982,0.1002,0.0586,0.135,2.8744,0,
COMP_0893,Global Partners,Energy,-0.06,-0.3341,-0.0032,0.0073,0.4048,0.8646,0.3578,102.4505,-0.0269,-0.24,-0.0971,-5.0,-0.1411,1,5.0
COMP_0426,Stellar Corp,Manufacturing,0.1199,0.4332,0.0794,1.4325,0.8357,1.626,1.2839,1.1928,3.2248,0.0484,0.0405,0.0887,2.7078,0,
COMP_0714,Dynamic Technologies,Construction,0.2996,0.3146,0.1657,1.9174,1.2121,1.9222,0.9923,2.0201,7.3036,0.0891,0.108,0.3263,3.7092,0,
COMP_0261,Summit Partners #634,Construction,0.4376,0.4843,0.0708,0.9122,0.8917,3.2282,1.9178,0.9616,2.3166,0.035,0.0312,0.0613,2.8758,0,
COMP_0238,Advanced Technologies #158,Retail,-0.0985,0.2232,0.0697,0.4208,2.0522,0.7749,0.5843,3.2556,2.0526,0.0139,0.0284,0.1211,2.7291,0,
COMP_0560,Alpha Technologies,Telecommunications,0.0695,0.0802,0.0715,0.3561,0.4241,1.3968,0.8657,2.9281,1.5412,0.0431,0.0183,0.0719,1.0694,0,
COMP_0584,Prime Group,Technology,0.4754,0.7735,0.0636,2.6416,0.5434,7.9291,5.1312,0.2282,7.7233,0.075,0.0407,0.05,3.9917,0,
COMP_0446,Dynamic International #541,Transportation,0.0231,-0.1787,0.012,0.0296,0.7101,1.1134,0.5542,1.956,0.3463,-0.0257,-0.0182,-0.0539,0.545,0,
COMP_0868,Dynamic Dynamics #652,Telecommunications,-0.3941,-0.3507,0.0363,0.009,0.4628,0.1429,0.0765,7.8185,0.589,-0.0421,-0.0195,-0.1717,-0.3758,1,5.0
COMP_0801,Dynamic Technologies #545,Technology,-0.2436,-0.4478,0.0612,0.0057,0.5764,0.5235,0.2992,80.0208,0.7503,-0.0302,-0.0174,-1.4087,-0.1374,1,1.0
COMP_0600,Apex Enterprises #400,Transportation,-0.0998,0.176,0.0712,0.6094,0.9079,0.7552,0.6709,4.3963,1.572,0.0223,0.0203,0.1095,1.6354,0,
COMP_0850,Vanguard Innovations #107,Transportation,-0.2856,-0.2883,0.0323,0.0035,0.3637,0.149,0.0696,18.26,0.3574,-0.1232,-0.0448,-0.8631,-0.274,1,4.0
COMP_0266,Alpha Manufacturing,Energy,0.168,0.0453,0.0282,0.1475,0.4291,1.7605,1.2064,0.8417,1.1642,0.0069,0.003,0.0055,0.8756,0,
COMP_0996,Advanced Innovations #144,Transportation,-0.2581,-0.3057,-0.0295,0.0033,0.4271,0.4255,0.2038,100.81,-0.2841,-0.2457,-0.1049,-5.0,-0.4057,1,1.0
COMP_0530,Pioneer Ventures,Real Estate,-0.1092,-0.0032,0.0305,0.0324,0.2225,0.5361,0.3782,1.5982,0.945,-0.0067,-0.0015,-0.0039,0.207,0,
COMP_0056,Advanced Solutions #260,Technology,0.2804,0.5656,0.1075,1.7798,1.2068,2.034,1.5025,0.6795,6.0839,0.0586,0.0707,0.1187,3.758,0,
COMP_0121,Pioneer Enterprises #441,Retail,0.1934,0.0706,0.0514,0.1091,1.6502,1.6456,1.0887,3.2654,1.1982,0.0039,0.0064,0.0274,2.2162,0,
COMP_0216,Alpha Logistics,Healthcare,0.209,0.6522,0.1521,6.3771,0.6436,2.6626,1.8274,0.4565,7.6293,0.1572,0.1012,0.1474,6.1357,0,
COMP_0026,Summit Technologies #135,Transportation,-0.0499,-0.2356,0.0022,0.0395,0.4426,0.801,0.5565,0.8688,0.0724,-0.0502,-0.0222,-0.0415,0.0838,0,
COMP_0073,Vanguard Ventures #671,Retail,0.0747,0.3988,0.1057,1.6338,1.865,1.2738,0.9395,1.3821,5.0376,0.0333,0.0621,0.1479,3.8421,0,
COMP_0045,Strategic Corp #246,Technology,0.4615,0.4428,0.129,2.5996,0.5769,3.0267,2.2639,1.1455,8.4082,0.1589,0.0917,0.1967,3.736,0,
COMP_0248,Premier Dynamics,Retail,0.1224,0.0804,0.0475,0.6235,1.5628,1.766,1.2459,0.919,1.678,0.0088,0.0138,0.0264,2.353,0,
COMP_0722,Advanced Services #52,Real Estate,-0.33,0.1706,0.0629,0.8446,0.3611,0.286,0.2129,4.568,2.1578,0.079,0.0285,0.1588,0.9182,0,
COMP_0282,Nova Services #376,Retail,-0.0461,0.2375,0.0728,0.8969,1.6332,0.8489,0.5043,1.2473,2.8549,0.0221,0.0361,0.0812,2.6886,0,
COMP_0894,Strategic Manufacturing,Real Estate,-0.4613,-0.4573,0.0003,0.0064,0.05,0.1404,0.08,109.6628,0.0066,-0.7779,-0.0389,-3.8897,-1.1388,1,3.0
COMP_0915,Pinnacle Partners #502,Energy,-0.3897,-0.5886,-0.0005,0.0046,0.1215,0.2364,0.119,2.6295,-0.0057,-0.5825,-0.0708,-0.2569,-1.1691,1,4.0
COMP_0811,United Enterprises #110,Technology,0.0128,-0.4984,0.0027,0.0032,0.3737,1.0494,0.3529,6.9627,0.0262,-0.2034,-0.076,-0.6051,-0.2978,1,5.0
COMP_0245,Horizon Manufacturing,Transportation,-0.0001,0.292,0.0997,1.0523,0.7453,0.9995,0.8877,1.5232,3.5331,0.0754,0.0562,0.1418,2.1144,0,
