working_capital_to_total_assets,retained_earnings_to_total_assets,ebit_to_total_assets,market_value_equity_to_total_liabilities,sales_to_total_assets,current_ratio,quick_ratio,debt_to_equity,interest_coverage,net_profit_margin,return_on_assets,return_on_equity,is_insolvent,company_id,company_name,industry,company_size,economic_cycle
0.1388,0.0894,-0.0072,1.3434,0.8157,0.6893,0.9803,1.492,1.1736,0.0098,0.0072,0.0368,1,COMP_08094,Crown Enterprises Group,Agriculture,small,trough
0.12,-0.1704,-0.0546,0.6349,0.6614,1.4989,0.5276,3.6171,1.1639,-0.0745,0.037,-0.0801,1,COMP_06844,Nova Trade PLC,Oil & Gas,small,expansion
0.1024,0.3394,0.1359,0.5,1.521,1.4589,0.7793,2.171,2.6507,0.0821,0.066,0.1007,0,COMP_02166,Vertex Systems PLC,Insurance,medium,expansion
0.1655,0.3114,0.0176,2.4061,1.2677,1.8446,1.0733,1.089,3.9073,0.0488,0.0135,0.0603,0,COMP_01863,Omega Development Inc,Logistics,medium,trough
0.12,-0.1915,-0.0548,0.9452,0.443,0.8234,0.3726,2.472,0.7119,-0.1282,-0.0091,-0.209,1,COMP_07851,American Group Group,E-Commerce,small,peak
-0.0886,0.0588,0.1,1.3868,1.0171,0.726,0.6619,2.0569,2.6315,-0.0237,0.0322,0.0382,1,COMP_09124,Heritage Corp Corp,Oil & Gas,small,trough
0.072,0.1728,0.0273,0.9684,0.6087,0.99,1.0282,2.0221,1.5,0.0292,0.0223,0.1196,0,COMP_02341,Frontier Retail LLC,REIT,small,expansion
-0.0245,0.0899,0.0202,0.8392,0.4851,0.3498,0.4355,3.591,1.8519,-0.0205,-0.0115,-0.112,1,COMP_05528,Precision Products PLC,Retail,small,expansion
0.0081,0.0214,-0.0401,0.7124,0.5885,0.95,0.4479,9.2295,1.8692,-0.0421,-0.037,-0.0922,1,COMP_06744,Sterling Partners SA,Banking,medium,contraction
0.2246,0.2268,0.0065,1.7066,2.1231,2.0651,1.6843,0.9997,1.8935,0.0304,0.0436,0.1259,0,COMP_04004,United Instruments Group,E-Commerce,enterprise,contraction
0.0787,0.3496,0.0992,1.6172,0.8625,1.3243,1.2761,1.3801,1.8968,0.0629,0.0177,-0.0177,0,COMP_01124,Integrated Materials PLC,Automotive,small,expansion
0.1028,0.2764,0.0728,0.8649,0.8432,1.2142,1.1897,1.8351,0.9183,-0.036,0.0357,-0.1972,1,COMP_08710,Titan Works PLC,Entertainment,micro,peak
0.2468,0.3394,0.1094,2.1064,0.7963,1.8193,0.55,0.75,9.4934,0.077,0.0858,0.1725,0,COMP_04050,Quantum Management International,Software,small,expansion
-0.0056,-0.0393,0.0061,1.2381,0.6959,1.385,0.4594,2.6451,2.8,0.0263,0.0218,-0.1821,1,COMP_07641,Metro Resources Inc,Entertainment,small,peak
0.1293,0.1078,0.061,1.3018,0.9623,1.5559,0.45,1.7646,2.9696,0.0269,0.0274,0.0916,0,COMP_00766,Paramount Enterprises Inc,Utilities,small,contraction
0.1186,0.1804,0.1272,1.4779,0.3,1.624,1.2598,0.755,4.4413,0.0191,0.0288,0.0658,0,COMP_02345,Metro Holdings SA,Consumer Goods,small,expansion
0.151,0.2676,0.0212,0.9141,1.5006,0.9566,1.1609,1.2314,1.6854,0.0591,0.012,0.0295,0,COMP_04072,Dynamic Solutions Group,Renewable Energy,medium,contraction
0.12,-0.2215,-0.081,0.7891,0.3191,1.4188,0.7517,3.432,2.3434,-0.002,-0.0705,-0.1599,1,COMP_07217,Nexus Services Inc,Energy,large,peak
-0.1606,0.0326,-0.0142,0.8846,0.7793,0.6594,0.3149,3.5326,1.0631,-0.041,-0.0099,-0.0746,1,COMP_04217,Crown Commerce SA,Transportation,medium,trough
0.0383,0.095,-0.0523,0.1175,0.5759,0.4422,0.8143,2.0027,0.3132,-0.0864,-0.0393,0.0376,1,COMP_07953,Royal Industries SA,Biotechnology,medium,contraction
0.0177,-0.0887,0.0228,0.2352,0.6564,0.8099,0.7547,6.3151,2.2816,0.0056,-0.0257,-0.1145,1,COMP_05971,Prime Med International,Oil & Gas,micro,contraction
0.0703,0.1107,0.0371,0.9823,0.3,0.9918,1.5135,1.3618,1.732,0.0108,-0.0109,0.0042,0,COMP_03351,Vanguard Digital Inc,Transportation,micro,peak
0.12,-0.2011,0.06,0.8992,0.674,1.6152,0.2234,3.5752,2.2578,-0.2371,0.0142,-0.2099,1,COMP_04696,Delta Energy Group,Mining,large,expansion
0.3317,0.3385,0.1212,2.8338,2.2669,1.7055,1.4528,0.4925,4.6193,0.0716,0.12,0.292,0,COMP_03400,Pinnacle Med Ltd,Technology,large,peak
0.1368,0.1972,0.1322,2.969,0.6007,1.2438,1.3718,0.6564,7.6162,0.0849,0.0258,0.1034,0,COMP_04082,Integrated Bio International,Software,micro,expansion
0.0939,0.1154,0.0095,0.521,0.9675,1.9428,1.3922,3.04,1.7333,0.0131,0.0209,0.0297,0,COMP_09150,Vanguard Commerce International,REIT,medium,expansion
0.1687,0.2832,0.0691,1.0113,1.2139,1.4121,0.8934,0.8727,1.7721,0.0354,0.0298,-0.0188,0,COMP_01225,Zenith Instruments PLC,Construction,medium,contraction
0.0262,0.0293,-0.0945,1.4,0.6949,0.6721,0.3575,4.4978,2.8,-0.0743,-0.0194,-0.1427,1,COMP_06293,Titan Consulting Corp,Airlines,medium,contraction
0.1926,0.2334,0.041,1.018,0.6807,1.2483,1.2426,0.8306,2.6337,0.0515,0.0298,0.055,0,COMP_03123,Freedom Resources Corp,E-Commerce,small,expansion
0.0485,0.164,-0.0095,0.5,0.3656,1.0843,0.7611,2.75,1.5,0.0248,0.0223,0.0696,0,COMP_00511,Atlantic Enterprises Ltd,Insurance,micro,contraction
0.0267,-0.0042,-0.0192,0.5799,0.4298,0.5426,0.4331,3.1096,1.1928,-0.022,0.0116,-0.0689,1,COMP_05795,Royal International International,Consumer Goods,small,trough
0.1137,0.0233,0.0171,0.9913,0.6003,0.9646,0.9375,1.247,3.2467,0.0137,0.0064,0.0289,0,COMP_08182,Pioneer Networks Holdings,Consumer Goods,enterprise,trough
-0.0008,0.0054,0.0805,1.7357,0.5813,1.9848,1.0249,1.4712,3.642,0.069,-0.0243,0.1085,0,COMP_09418,Royal Corp Corp,Pharmaceuticals,medium,expansion
0.2799,0.5215,0.0737,2.1764,2.4783,2.9868,1.3452,0.937,2.8166,0.0432,0.0929,0.1603,0,COMP_00097,Alpha Pharma LLC,Entertainment,enterprise,expansion
0.0482,0.0445,0.0475,0.8277,0.6858,0.3724,0.7787,3.3577,1.2791,-0.172,-0.0279,-0.0723,1,COMP_06682,Vanguard Consulting PLC,Mining,medium,expansion
0.1365,0.2024,-0.03,1.7644,0.6774,0.8212,0.4283,1.0178,3.4109,0.0125,0.0278,0.0556,0,COMP_01513,Core Works Co,Retail,micro,trough
0.0902,0.1475,0.0483,1.7122,0.7438,0.4696,1.0897,1.2161,0.6253,-0.038,-0.0379,0.0399,1,COMP_08792,Frontier Solutions Holdings,Biotechnology,micro,contraction
0.1061,0.2268,-0.013,0.7584,1.1903,2.1055,1.603,1.297,1.5,0.0843,0.0697,0.1104,0,COMP_00120,Metro Services PLC,REIT,medium,expansion
0.1084,0.0214,0.0355,1.191,0.5829,1.479,0.9682,1.1111,0.7947,-0.119,0.037,-0.0804,1,COMP_07792,Pacific Devices Ltd,Construction,medium,expansion
-0.0316,0.053,-0.0606,0.8174,0.5991,0.9921,0.1726,3.6601,1.8205,-0.0514,0.016,-0.0205,1,COMP_06518,Core Enterprises Group,Retail,enterprise,contraction
0.0999,0.164,0.0501,0.5,1.1126,1.5794,1.0455,2.0701,1.5,0.0028,0.0309,0.0759,0,COMP_00034,Eagle Trade Group,REIT,medium,contraction
-0.0753,-0.1546,0.0025,0.5074,0.2822,0.5591,0.4079,3.2532,0.6837,-0.0679,-0.0402,-0.1202,1,COMP_07888,United Products PLC,Manufacturing,small,contraction
0.0145,-0.0724,-0.0225,0.7946,0.3245,0.4856,0.5268,2.3005,0.7597,-0.0332,-0.0402,-0.0835,1,COMP_06831,Elite Digital Corp,Pharmaceuticals,small,contraction
-0.3291,-0.0902,-0.082,0.3682,0.6932,0.5771,0.862,6.1557,0.8649,0.0051,-0.0182,-0.1017,1,COMP_05422,Apex Networks LLC,Airlines,small,trough
0.0885,0.3851,0.0395,1.2357,0.5343,0.9642,1.3424,1.3722,2.9859,0.0108,-0.0024,0.0629,0,COMP_01069,Crown Components SA,Construction,small,contraction
0.0863,0.2965,0.1067,2.2361,1.6442,1.4133,1.6584,0.8778,1.5,0.0897,0.0689,0.1008,0,COMP_01348,Pioneer Services Corp,Entertainment,large,peak
0.0958,0.15,-0.0302,0.9571,0.7,0.9916,1.1835,2.6842,1.6386,-0.0645,-0.0725,-0.0757,1,COMP_04748,Global Components Inc,Renewable Energy,small,peak
