company_id,company_name,industry,company_size,economic_cycle,is_insolvent
COMP_00040,Core Services LLC,Biotechnology,medium,trough,0
COMP_04820,Titan Bio Inc,Mining,large,contraction,1
COMP_03466,Nova Corp Corp,Semiconductors,small,contraction,0
COMP_01761,Premier Solutions Inc,Automotive,medium,trough,0
COMP_02305,Strategic Products LLC,Retail,large,expansion,0
COMP_03724,Elite Holdings Holdings,Entertainment,small,expansion,0
COMP_08285,Core Trade Holdings,Transportation,enterprise,trough,1
COMP_04994,Dynamic Solutions PLC,Transportation,medium,expansion,1
COMP_08128,Legacy Commerce PLC,Mining,medium,expansion,1
COMP_03033,Sigma Med Group,Hospitality,small,expansion,0
COMP_07939,Phoenix Industries SA,Real Estate,micro,expansion,1
COMP_03040,Liberty Pharma SA,Pharmaceuticals,small,expansion,0
COMP_09656,Core Labs Inc,Media,micro,peak,0
COMP_02546,Crown Corp International,Pharmaceuticals,micro,expansion,0
COMP_02593,Alpha Works International,Airlines,large,contraction,0
COMP_01189,Precision Materials International,Pharmaceuticals,medium,expansion,0
COMP_07967,Dynamic Analytics Corp,Pharmaceuticals,medium,peak,1
COMP_06078,Legacy Ventures Holdings,Airlines,large,trough,1
COMP_00108,Nova Consulting Ltd,Software,large,trough,0
COMP_01316,Freedom Labs Corp,Financial Services,medium,expansion,0
COMP_08188,Crown Enterprises Ltd,Utilities,medium,expansion,1
COMP_02754,Phoenix Tech Co,Mining,small,peak,0
COMP_09754,Dynamic Instruments Co,Technology,medium,peak,1
COMP_06232,Omega Med International,Software,small,expansion,1
COMP_02877,Advanced Partners International,Logistics,medium,contraction,0
COMP_05324,Prime Analytics Corp,Software,small,trough,1
COMP_00800,Omega Corp International,Software,medium,expansion,0
COMP_03571,Eagle Resources International,E-Commerce,micro,contraction,0
COMP_02895,Freedom Systems Group,Media,medium,expansion,0
COMP_02928,Nexus Partners International,Automotive,small,expansion,0
COMP_08179,Precision Development Co,Energy,small,trough,1
COMP_00972,Crown Capital Inc,Construction,micro,contraction,0
COMP_06688,National Holdings SA,Manufacturing,small,trough,1
COMP_08576,Horizon Manufacturing International,Oil & Gas,small,expansion,0
COMP_02021,Summit International LLC,Logistics,small,peak,0
COMP_09055,Elite Bio Group,Airlines,medium,expansion,1
COMP_00953,Global Ventures Holdings,Real Estate,medium,trough,0
COMP_05360,Titan Materials Corp,Pharmaceuticals,medium,contraction,1
COMP_03858,Atlantic Analytics Inc,Logistics,medium,peak,0
COMP_05862,Sigma Materials Corp,Agriculture,small,contraction,1
COMP_03146,Sigma Med Group,Software,micro,peak,0
COMP_03306,Nova Med SA,Healthcare,medium,trough,0
COMP_03007,Heritage Solutions Ltd,Utilities,micro,expansion,0
COMP_09002,Peak Retail LLC,Media,medium,expansion,0
COMP_07771,Paramount Products SA,REIT,medium,contraction,1
COMP_07439,National Power Inc,Oil & Gas,micro,expansion,1
COMP_07943,Horizon Labs Group,Utilities,small,expansion,1
COMP_09239,Titan Management Ltd,Software,small,expansion,0
COMP_01057,Dynamic Dynamics SA,Banking,large,contraction,0
COMP_03155,Legacy Commerce PLC,Telecommunications,micro,peak,0
COMP_03788,Premier Analytics Ltd,Media,large,expansion,0
COMP_09190,Zenith Components Inc,Entertainment,large,trough,0
COMP_07826,Innovative Enterprises PLC,REIT,enterprise,peak,1
COMP_07540,Freedom Digital Holdings,Construction,medium,contraction,1
COMP_07232,Heritage Materials LLC,Renewable Energy,large,expansion,1
COMP_00765,Atlantic Bio Holdings,Retail,medium,trough,0
COMP_05020,Freedom Capital International,Healthcare,small,trough,1
COMP_04904,Pioneer Logistics Holdings,Mining,micro,peak,1
COMP_08094,Crown Enterprises Group,Agriculture,small,trough,1
COMP_06844,Nova Trade PLC,Oil & Gas,small,expansion,1
COMP_02166,Vertex Systems PLC,Insurance,medium,expansion,0
COMP_01863,Omega Development Inc,Logistics,medium,trough,0
COMP_07851,American Group Group,E-Commerce,small,peak,1
COMP_09124,Heritage Corp Corp,Oil & Gas,small,trough,1
COMP_02341,Frontier Retail LLC,REIT,small,expansion,0
COMP_05528,Precision Products PLC,Retail,small,expansion,1
COMP_06744,Sterling Partners SA,Banking,medium,contraction,1
COMP_04004,United Instruments Group,E-Commerce,enterprise,contraction,0
COMP_01124,Integrated Materials PLC,Automotive,small,expansion,0
COMP_08710,Titan Works PLC,Entertainment,micro,peak,1
COMP_04050,Quantum Management International,Software,small,expansion,0
COMP_07641,Metro Resources Inc,Entertainment,small,peak,1
COMP_00766,Paramount Enterprises Inc,Utilities,small,contraction,0
COMP_02345,Metro Holdings SA,Consumer Goods,small,expansion,0
COMP_04072,Dynamic Solutions Group,Renewable Energy,medium,contraction,0
COMP_07217,Nexus Services Inc,Energy,large,peak,1
COMP_04217,Crown Commerce SA,Transportation,medium,trough,1
COMP_07953,Royal Industries SA,Biotechnology,medium,contraction,1
COMP_05971,Prime Med International,Oil & Gas,micro,contraction,1
COMP_03351,Vanguard Digital Inc,Transportation,micro,peak,0
COMP_04696,Delta Energy Group,Mining,large,expansion,1
COMP_03400,Pinnacle Med Ltd,Technology,large,peak,0
COMP_04082,Integrated Bio International,Software,micro,expansion,0
COMP_09150,Vanguard Commerce International,REIT,medium,expansion,0
COMP_01225,Zenith Instruments PLC,Construction,medium,contraction,0
COMP_06293,Titan Consulting Corp,Airlines,medium,contraction,1
COMP_03123,Freedom Resources Corp,E-Commerce,small,expansion,0
COMP_00511,Atlantic Enterprises Ltd,Insurance,micro,contraction,0
COMP_05795,Royal International International,Consumer Goods,small,trough,1
COMP_08182,Pioneer Networks Holdings,Consumer Goods,enterprise,trough,0
COMP_09418,Royal Corp Corp,Pharmaceuticals,medium,expansion,0
COMP_00097,Alpha Pharma LLC,Entertainment,enterprise,expansion,0
COMP_06682,Vanguard Consulting PLC,Mining,medium,expansion,1
COMP_01513,Core Works Co,Retail,micro,trough,0
COMP_08792,Frontier Solutions Holdings,Biotechnology,micro,contraction,1
COMP_00120,Metro Services PLC,REIT,medium,expansion,0
COMP_07792,Pacific Devices Ltd,Construction,medium,expansion,1
COMP_06518,Core Enterprises Group,Retail,enterprise,contraction,1
COMP_00034,Eagle Trade Group,REIT,medium,contraction,0
COMP_07888,United Products PLC,Manufacturing,small,contraction,1
COMP_06831,Elite Digital Corp,Pharmaceuticals,small,contraction,1
COMP_05422,Apex Networks LLC,Airlines,small,trough,1
COMP_01069,Crown Components SA,Construction,small,contraction,0
COMP_01348,Pioneer Services Corp,Entertainment,large,peak,0
COMP_04748,Global Components Inc,Renewable Energy,small,peak,1
COMP_06006,Phoenix Manufacturing International,REIT,medium,expansion,1
COMP_06040,Summit Brands Ltd,Financial Services,medium,contraction,1
COMP_03818,Elite Instruments Group,Banking,medium,expansion,0
COMP_08447,Nova Works Inc,Banking,small,trough,0
COMP_05270,Prime Capital Ltd,Entertainment,medium,expansion,1
COMP_06898,Frontier Materials Ltd,Utilities,large,expansion,1
COMP_05310,Apex Materials PLC,Retail,small,contraction,1
COMP_00032,Vanguard Components LLC,Software,medium,contraction,0
COMP_05675,United Partners LLC,Energy,medium,peak,1
COMP_04387,Strategic Bio Inc,Entertainment,large,contraction,1
COMP_00030,Titan Works International,Real Estate,small,contraction,0
COMP_04203,Vertex Devices SA,Media,enterprise,peak,1
COMP_07508,Omega Ventures SA,Logistics,small,contraction,1
COMP_00736,Paramount Corp PLC,Airlines,large,peak,0
COMP_02068,Legacy Tech PLC,Utilities,small,contraction,0
COMP_00107,Precision Pharma Holdings,Manufacturing,large,contraction,0
COMP_09645,Omega Products PLC,Energy,small,peak,1
COMP_08895,Sigma Med Co,Biotechnology,medium,contraction,0
COMP_08021,Integrated Commerce Ltd,Mining,small,trough,0
COMP_02233,Frontier Components Corp,Semiconductors,small,expansion,0
COMP_00994,Metro Manufacturing Inc,Transportation,micro,trough,0
COMP_09413,Atlantic Analytics International,Financial Services,medium,contraction,1
COMP_07059,Sigma Instruments Inc,Construction,medium,expansion,1
COMP_06790,Crown Logistics Inc,Semiconductors,medium,contraction,1
COMP_00361,Quantum Pharma Inc,Semiconductors,medium,expansion,0
COMP_00305,Prime International Corp,Consumer Goods,small,expansion,0
COMP_02628,Nova Energy Co,Financial Services,small,expansion,0
COMP_08966,United Med SA,Entertainment,small,trough,1
COMP_04514,Royal Systems Corp,Airlines,small,contraction,1
COMP_05911,Innovative Management Group,E-Commerce,micro,trough,1
COMP_08314,Pinnacle Bio SA,Airlines,medium,contraction,0
COMP_03101,Paramount Devices Holdings,Banking,micro,trough,0
COMP_05704,Integrated Holdings PLC,Pharmaceuticals,small,trough,1
COMP_03899,Phoenix Components Holdings,Retail,micro,peak,0
COMP_05441,Titan Systems International,Retail,small,trough,1
COMP_07931,Prime Corp Inc,Insurance,large,expansion,1
COMP_00622,Innovative Trade Co,Entertainment,micro,contraction,0
COMP_07236,Vanguard Med Inc,REIT,medium,expansion,1
COMP_02499,National Instruments Group,Logistics,small,trough,0
COMP_00714,Zenith Networks Group,Logistics,small,trough,0
COMP_08404,Legacy Products Holdings,Technology,small,peak,0
COMP_02856,Titan Networks Inc,Mining,small,expansion,0
COMP_04270,Premier Products Co,Transportation,small,contraction,1
COMP_02909,Innovative Retail Group,Media,medium,contraction,0
COMP_08081,Vanguard Components Holdings,Entertainment,medium,expansion,0
COMP_04517,Pioneer Capital Group,Telecommunications,small,expansion,1
COMP_01262,Apex Materials Co,Media,small,contraction,0
COMP_03161,Atlantic Power Holdings,Oil & Gas,micro,contraction,0
COMP_00971,Innovative Partners Ltd,Hospitality,small,expansion,0
COMP_03913,Peak Works LLC,Automotive,micro,trough,0
COMP_05199,Frontier Logistics LLC,Healthcare,large,expansion,1
COMP_08847,Zenith Tech Holdings,Manufacturing,medium,contraction,1
COMP_00260,Prime Group International,E-Commerce,small,expansion,0
COMP_03791,American Bio Corp,Insurance,small,peak,0
COMP_09203,Vista Capital International,Semiconductors,micro,peak,1
COMP_00488,Paramount Works SA,Technology,medium,expansion,0
COMP_07908,United Analytics Ltd,Mining,large,expansion,1
COMP_00519,Apex Digital Ltd,Airlines,small,trough,0
COMP_08343,Freedom Power Group,Construction,large,trough,1
COMP_00312,Nexus International SA,Oil & Gas,medium,expansion,0
COMP_03232,Legacy Logistics PLC,REIT,medium,peak,0
COMP_07933,Royal Tech Holdings,Telecommunications,small,expansion,1
COMP_07458,Zenith Enterprises International,Real Estate,micro,expansion,1
COMP_09784,Freedom Labs Co,Mining,medium,expansion,1
COMP_05184,Pinnacle Corp Corp,Mining,medium,expansion,1
COMP_08077,Heritage Digital Group,Manufacturing,medium,contraction,1
COMP_06502,Liberty Labs Ltd,Real Estate,large,expansion,1
COMP_06791,Sigma Management SA,Energy,medium,contraction,1
COMP_07773,Precision Corp LLC,Airlines,large,contraction,1
COMP_02738,Paramount Trade Ltd,Software,medium,expansion,0
COMP_07842,Alpha Trade Co,Biotechnology,small,peak,1
COMP_06262,Eagle Group Ltd,Hospitality,small,expansion,1
COMP_08206,Sterling Corp Holdings,Oil & Gas,micro,contraction,0
COMP_01248,Dynamic Holdings Corp,Energy,medium,contraction,0
COMP_09336,Crown Power International,Media,enterprise,expansion,0
COMP_04195,Legacy Group SA,Entertainment,medium,contraction,0
COMP_08001,Royal Devices International,Hospitality,enterprise,trough,0
COMP_07378,Vista Management Inc,Utilities,small,expansion,1
COMP_03435,Royal Systems Inc,Telecommunications,medium,contraction,0
COMP_05382,Metro Tech Corp,Agriculture,large,trough,1
COMP_00959,Heritage Devices PLC,Software,medium,expansion,0
COMP_00417,Crown Manufacturing Group,Mining,small,contraction,0
COMP_05742,Precision Consulting Corp,Healthcare,medium,contraction,1
COMP_06728,Frontier Trade SA,Telecommunications,enterprise,peak,1
COMP_04382,Advanced Industries International,E-Commerce,medium,expansion,1
COMP_05197,Alpha Bio LLC,Real Estate,large,trough,1
COMP_01113,Omega Instruments SA,E-Commerce,medium,peak,0
COMP_02689,Royal Retail PLC,Automotive,enterprise,contraction,0
COMP_06473,Atlantic Enterprises Group,Utilities,small,contraction,1
COMP_08820,Liberty Services SA,Construction,small,expansion,0
COMP_07808,Heritage Solutions Inc,Energy,enterprise,expansion,1
COMP_03411,Premier Bio Holdings,Financial Services,small,expansion,0
COMP_00081,Core Products Inc,Software,medium,expansion,0
COMP_04614,Apex International PLC,Retail,medium,trough,1
COMP_01374,Prime Instruments Group,Technology,medium,expansion,0
COMP_01510,Heritage Digital International,Telecommunications,medium,expansion,0
COMP_06443,Atlantic Group Ltd,Airlines,micro,trough,1
COMP_03071,Omega Logistics LLC,Real Estate,large,expansion,0
COMP_03016,Premier Materials Co,Energy,small,trough,0
COMP_04823,Integrated Analytics PLC,Mining,micro,peak,1
COMP_07822,Apex Trade Ltd,Entertainment,micro,contraction,1
COMP_00093,Eagle Materials International,Banking,micro,expansion,0
COMP_09421,Global Associates Corp,REIT,medium,contraction,1
COMP_06600,Core Partners Corp,Airlines,medium,expansion,1
COMP_04443,Elite Commerce Group,Consumer Goods,large,contraction,1
COMP_07602,Vista Management Holdings,Real Estate,large,trough,1
COMP_03835,Strategic Enterprises Holdings,Airlines,medium,trough,0
COMP_09702,Pinnacle Resources Ltd,Energy,large,expansion,1
COMP_04322,Delta Management Corp,Automotive,micro,contraction,1
COMP_03394,Quantum Industries International,Semiconductors,large,contraction,0
COMP_04752,Precision Resources Group,Energy,small,expansion,1
COMP_07229,Freedom Capital PLC,E-Commerce,enterprise,trough,1
COMP_09191,Quantum Holdings SA,Agriculture,micro,contraction,0
COMP_02361,Phoenix Products Co,Mining,small,expansion,0
COMP_01148,Phoenix Services Ltd,Logistics,medium,contraction,0
COMP_05666,Quantum Instruments SA,Logistics,large,contraction,1
COMP_08075,Advanced Components PLC,Energy,medium,contraction,0
COMP_04943,Liberty Med SA,REIT,medium,trough,1
COMP_03663,National Group Ltd,Retail,small,expansion,0
COMP_01563,National Components International,Transportation,micro,expansion,0
COMP_04113,Apex Systems Holdings,E-Commerce,small,expansion,0
COMP_09050,Zenith Management PLC,Mining,enterprise,contraction,0
COMP_09276,Prime Solutions Corp,Media,small,contraction,0
COMP_08538,Frontier Capital Co,Construction,medium,trough,0
COMP_00795,Prime Commerce Co,Healthcare,small,peak,0
COMP_05854,Atlantic Analytics Co,REIT,micro,expansion,1
COMP_07619,Metro Tech International,Financial Services,large,contraction,1
COMP_01594,Global Logistics SA,Real Estate,large,expansion,0
COMP_07418,Dynamic Trade Holdings,Consumer Goods,medium,trough,1
COMP_05267,Omega Energy Inc,Automotive,large,trough,1
COMP_07147,Paramount Holdings SA,Technology,micro,peak,1
COMP_00089,Vertex Analytics Holdings,Software,large,peak,0
COMP_08695,Titan Instruments Co,Real Estate,small,contraction,1
COMP_09732,Sigma International Co,Construction,micro,contraction,1
COMP_09446,Elite Tech Corp,Technology,micro,trough,1
COMP_06754,Premier Med SA,Mining,small,trough,1
COMP_03502,Metro Commerce International,Healthcare,medium,contraction,0
COMP_02234,Titan Corp Holdings,Utilities,small,trough,0
COMP_02803,Advanced Brands Inc,Utilities,small,contraction,0
COMP_04424,Pacific Commerce International,Real Estate,enterprise,peak,1
COMP_05663,Delta Dynamics International,Airlines,medium,expansion,1
COMP_07170,Elite Works Group,Entertainment,medium,trough,1
COMP_08337,Crown Analytics SA,E-Commerce,small,expansion,0
COMP_02148,Core Partners Group,Technology,large,contraction,0
COMP_07969,Apex Devices Group,Healthcare,medium,peak,1
COMP_06551,United Retail Corp,Biotechnology,large,trough,1
COMP_07643,Summit Tech Corp,Telecommunications,medium,contraction,1
COMP_06164,Phoenix International Co,Biotechnology,medium,peak,1
COMP_01495,Omega Group LLC,Media,medium,contraction,0
COMP_07696,Pioneer Instruments SA,Semiconductors,small,expansion,1
COMP_07094,Dynamic Corp International,Software,large,contraction,1
COMP_01409,Frontier Brands SA,Banking,small,contraction,0
COMP_06691,Core Logistics Co,Agriculture,medium,trough,1
COMP_03401,Delta Development SA,Biotechnology,small,peak,0
COMP_00109,Sigma Ventures Holdings,Financial Services,enterprise,contraction,0
COMP_05636,Royal Associates Co,Biotechnology,medium,contraction,1
COMP_08482,Strategic Commerce PLC,Logistics,medium,contraction,1
COMP_06604,Zenith Devices International,Mining,medium,peak,1
COMP_01091,Paramount Works International,Pharmaceuticals,small,expansion,0
COMP_05560,Strategic Partners Holdings,Logistics,enterprise,expansion,1
COMP_09412,Legacy Manufacturing PLC,Software,enterprise,trough,1
COMP_08143,Global Power International,E-Commerce,large,contraction,0
COMP_08664,Vanguard Dynamics International,Banking,large,contraction,0
COMP_06596,Pacific Associates International,Automotive,large,expansion,1
COMP_00624,Innovative Med Ltd,Construction,enterprise,contraction,0
COMP_06871,Sterling Dynamics Group,Real Estate,small,expansion,1
COMP_04814,Alpha Corp Corp,Utilities,large,contraction,1
COMP_06553,Horizon Capital PLC,Semiconductors,medium,contraction,1
COMP_07530,Metro Materials Holdings,Mining,medium,expansion,1
COMP_05796,Premier Works PLC,Renewable Energy,medium,trough,1
COMP_07437,Peak Resources International,Airlines,large,expansion,1
COMP_04218,National Logistics PLC,Telecommunications,enterprise,trough,1
COMP_05941,Legacy Networks PLC,REIT,small,peak,1
COMP_08501,Core Instruments Co,Construction,medium,peak,1
COMP_06429,Royal Holdings SA,Agriculture,medium,trough,1
COMP_06827,Vista Power SA,Utilities,enterprise,expansion,1
COMP_04131,Zenith Consulting Co,Mining,medium,trough,0
COMP_07802,Delta Networks SA,Banking,small,peak,1
COMP_07754,Paramount Systems Holdings,Banking,small,expansion,1
COMP_04722,Dynamic Components SA,Logistics,small,expansion,1
COMP_01651,Innovative Enterprises Ltd,Healthcare,micro,expansion,0
COMP_04141,Quantum Dynamics Co,Oil & Gas,enterprise,trough,0
COMP_01618,Nova Networks Holdings,Biotechnology,medium,contraction,0
COMP_02030,Premier Energy LLC,Oil & Gas,medium,peak,0
COMP_08518,Phoenix Systems Holdings,Construction,medium,peak,0
COMP_04576,United Resources PLC,Airlines,micro,expansion,1
COMP_03993,Vanguard Resources Inc,Utilities,micro,expansion,0
COMP_07377,Apex Labs Co,Consumer Goods,small,contraction,1
COMP_06150,Precision Tech Co,Mining,medium,contraction,1
COMP_04909,Titan Resources PLC,Biotechnology,small,trough,1
COMP_05027,Prime Devices Ltd,Retail,large,peak,1
COMP_08261,Delta Logistics PLC,Logistics,small,peak,1
COMP_04732,Zenith Power Co,Semiconductors,large,contraction,1
COMP_07549,Innovative International Ltd,Retail,medium,trough,1
COMP_08135,Legacy Networks Group,Airlines,small,trough,1
COMP_01607,Paramount Works Corp,Banking,medium,contraction,0
COMP_04774,Premier Ventures Co,Telecommunications,large,trough,1
COMP_08110,Global Products Co,Technology,enterprise,expansion,0
COMP_06952,Liberty Ventures SA,Software,large,expansion,1
COMP_06005,Pinnacle Pharma Inc,Oil & Gas,micro,expansion,1
COMP_07729,Prime Logistics Group,Oil & Gas,large,contraction,1
COMP_03542,Innovative Development PLC,Agriculture,medium,peak,0
COMP_00389,American Materials PLC,Software,medium,expansion,0
COMP_01795,Integrated Materials Corp,Entertainment,large,contraction,0
COMP_08732,Crown Systems PLC,Media,small,contraction,0
COMP_04920,Quantum Bio SA,Energy,enterprise,trough,1
COMP_05538,Innovative Logistics Co,Retail,medium,expansion,1
COMP_03873,Summit Solutions International,Technology,small,expansion,0
COMP_08869,Sterling Pharma PLC,Telecommunications,medium,expansion,0
COMP_02255,Phoenix Instruments Group,E-Commerce,medium,contraction,0
COMP_03413,Vanguard Works Corp,Software,large,expansion,0
COMP_05460,Apex Pharma SA,Manufacturing,medium,peak,1
COMP_04956,United Holdings Co,Energy,micro,peak,1
COMP_07397,Advanced Digital Group,Real Estate,large,trough,1
COMP_05415,Metro Enterprises SA,Renewable Energy,large,expansion,1
COMP_07400,Sigma Development Holdings,Hospitality,large,contraction,1
COMP_07415,Omega Trade Holdings,Transportation,large,contraction,1
COMP_09101,Global Power Holdings,Software,medium,expansion,1
COMP_04852,Summit Pharma Holdings,Pharmaceuticals,small,contraction,1
COMP_02026,Pioneer Corp PLC,Hospitality,medium,contraction,0
COMP_02616,National Services International,Media,large,trough,0
COMP_07389,Pacific Partners Ltd,Biotechnology,micro,contraction,1
COMP_02927,National Holdings Inc,Banking,micro,expansion,0
COMP_01122,Precision International Inc,Oil & Gas,large,contraction,0
COMP_02911,Core Systems Corp,Media,medium,peak,0
COMP_08147,Innovative Tech Corp,Biotechnology,small,trough,0
COMP_07384,Freedom Devices Ltd,Mining,large,contraction,1
COMP_03483,Liberty Instruments Inc,Software,large,expansion,0
COMP_00796,Sigma Capital International,Biotechnology,micro,peak,0
COMP_01576,Zenith Partners Co,Real Estate,small,expansion,0
COMP_06177,Freedom Partners Corp,REIT,large,trough,1
COMP_06267,Vanguard Corp Corp,E-Commerce,medium,contraction,1
COMP_02459,Dynamic Materials Ltd,Agriculture,small,contraction,0
COMP_03313,Sterling Systems Ltd,E-Commerce,large,trough,0
COMP_01254,National Pharma LLC,Biotechnology,small,contraction,0
COMP_06835,Core Products SA,Airlines,medium,expansion,1
COMP_08795,Premier Tech Group,Automotive,small,contraction,0
COMP_03838,Nova Brands Inc,Retail,medium,expansion,0
COMP_04399,Integrated Commerce SA,Consumer Goods,micro,peak,1
COMP_03596,Premier Products LLC,Energy,medium,contraction,0
COMP_06622,Precision Brands PLC,Logistics,micro,peak,1
COMP_08383,Pacific Brands LLC,Technology,micro,expansion,1
COMP_02125,Innovative Ventures Holdings,Logistics,medium,contraction,0
COMP_03239,Advanced Pharma SA,Pharmaceuticals,micro,expansion,0
COMP_05404,Omega Consulting Corp,Energy,small,peak,1
COMP_05999,Quantum Networks Inc,Insurance,small,contraction,1
COMP_05939,Pinnacle Pharma International,Renewable Energy,medium,expansion,1
COMP_02046,Phoenix Corp SA,Airlines,large,trough,0
COMP_01579,Atlantic Bio International,Energy,large,peak,0
COMP_00015,Royal Dynamics Ltd,Mining,micro,contraction,0
COMP_02674,Frontier Works Inc,Media,large,contraction,0
COMP_07017,Frontier Commerce SA,Manufacturing,large,expansion,1
COMP_08721,Royal Commerce Inc,Pharmaceuticals,medium,expansion,0
COMP_08850,Pinnacle Brands Corp,Media,small,trough,0
COMP_04813,Pioneer Materials International,Agriculture,medium,contraction,1
COMP_01085,Legacy Enterprises Group,Mining,micro,peak,0
COMP_04984,Pacific Solutions LLC,Retail,micro,contraction,1
COMP_07156,Prime Dynamics Group,Consumer Goods,medium,contraction,1
COMP_02885,Atlantic Partners Co,Utilities,medium,contraction,0
COMP_00334,Vertex Commerce PLC,Retail,large,contraction,0
COMP_07205,Legacy Enterprises Corp,Pharmaceuticals,small,peak,1
COMP_04368,National Pharma LLC,Airlines,enterprise,trough,1
COMP_03080,Integrated Manufacturing Corp,Airlines,small,expansion,0
COMP_07204,Paramount Labs Ltd,Oil & Gas,medium,expansion,1
COMP_09910,Sterling Tech Group,Insurance,medium,trough,1
COMP_08865,Pioneer Materials SA,Media,medium,peak,0
COMP_00264,Delta Solutions Inc,Hospitality,medium,trough,0
COMP_04338,Metro Bio International,Transportation,micro,peak,1
COMP_08896,Nova Commerce LLC,Financial Services,large,expansion,1
COMP_08448,National Resources Inc,Real Estate,micro,expansion,1
COMP_05904,Dynamic Solutions Group,Consumer Goods,micro,expansion,1
COMP_01499,Integrated Solutions PLC,Airlines,medium,contraction,0
COMP_04191,Pinnacle Trade Co,Transportation,small,expansion,0
COMP_07486,Vista Med Co,Utilities,medium,expansion,1
COMP_09644,Frontier Power SA,Insurance,small,expansion,1
COMP_08311,Core Industries Corp,Insurance,micro,trough,1
COMP_07591,Eagle Pharma International,Transportation,large,peak,1
COMP_00501,Vertex Solutions Corp,Automotive,medium,expansion,0
COMP_09156,Core Resources Inc,Media,medium,contraction,0
COMP_09415,Eagle Ventures Corp,Semiconductors,micro,contraction,1
COMP_03096,Legacy Brands PLC,Energy,small,peak,0
COMP_04632,Pinnacle Dynamics Co,Mining,micro,expansion,1
COMP_00368,Dynamic Pharma Group,Construction,medium,peak,0
COMP_04059,Heritage Ventures Ltd,Healthcare,medium,contraction,0
COMP_08175,National Ventures Group,E-Commerce,micro,peak,0
COMP_04631,Liberty Components SA,Hospitality,large,trough,1
COMP_06071,Alpha Labs Ltd,Semiconductors,medium,peak,1
COMP_02665,Global Corp LLC,Software,small,contraction,0
COMP_01027,Integrated Components PLC,Telecommunications,enterprise,contraction,0
COMP_05909,Crown Industries SA,Entertainment,medium,expansion,1
COMP_05051,Vanguard Bio Holdings,Transportation,medium,contraction,1
COMP_06329,Alpha Corp Corp,Entertainment,medium,expansion,1
COMP_09734,Vista Resources International,Technology,medium,trough,0
COMP_01692,Pioneer Associates Holdings,Oil & Gas,small,contraction,0
COMP_00674,Delta Products International,Mining,micro,expansion,0
COMP_05573,Heritage Works Group,Agriculture,micro,contraction,1
COMP_05767,National Retail SA,Insurance,large,peak,1
COMP_05157,Apex Corp Ltd,Semiconductors,small,expansion,1
